,id,structure__formula_full,structure__id,structure__e_above_hull,structure__prototype2__name,structure__prototype2__formula_reduced,vaspcalca__energy_barrier,vaspcalcb__energy_barrier,empiricalmeasures__dimensionality,empiricalmeasures__dimensionality_cumlengths
120,39,Ag2 F1,mp-1391,0.0,trigonal omega,CdI2,0.5115306700000133,0.32047168999997666,2,2
121,867,Zn1 Ag1 F3,mp-14099,0.053562753999998325,(Cubic) Perovskite,CaTiO3,0.18619873000000098,,3,3
122,3409,Np2 F6,mp-14107,0.0,Sodium arsenide,Na3As,0.1020370699999944,,2,3
123,41006,Na12 Li12 Ti8 F48,mp-14457,0.0,Garnet,Al2Co3(SiO4)3,0.6682370800000399,,0,3
124,41185,Na12 Li12 Cr8 F48,mp-14458,0.0,Garnet,Al2Co3(SiO4)3,0.8787046399999667,,0,3
125,23980,La6 F18,mp-17171,0.14431666750000005,,Cu3P,0.6645352200000048,,2,3
126,33890,Sr10 As6 O24 F2,mp-17777,0.0,Fluorapatite,Ca5P3O12F,0.9962172200000055,,1,1
127,21864,U6 F18,mp-18299,0.0,,Cu3P,0.7949379900000224,,0,3
128,23314,Nd6 F18,mp-18511,0.0,,Cu3P,-0.2883276899999885,,0,1
129,22397,Sm6 F18,mp-18690,0.20885603708333278,,Cu3P,0.9204696200000058,,2,3
130,974,Zn2 F4,mp-1873,0.0,Rutile,TiO2,0.8544842100000096,,3,3
